Age,Gender,AnnualIncome,NumberOfPurchases,ProductCategory,TimeSpentOnWebsite,LoyaltyProgram,DiscountsAvailed,PurchaseStatus
40.0,Female,66120.26793867795,8.0,Electronics,30.56860115599193,No,5,Yes
20.0,Female,23579.773583030517,4.0,Home Goods,38.2400966055442,No,5,No
27.0,Female,127821.3064316501,11.0,Home Goods,31.633211501604148,Yes,0,Yes
24.0,Female,137798.62311954965,19.0,Beauty,46.16705881166296,No,4,Yes
31.0,Female,99300.96422033316,19.0,Clothing,19.82359186249564,No,0,Yes
66.0,Female,37758.11747465244,14.0,Sports,17.827492934546594,No,2,No
39.0,Female,126883.38528613505,16.0,Beauty,42.0853835194488,Yes,4,Yes
64.0,Female,39707.35972401292,13.0,Home Goods,17.190291539022134,Yes,0,No
43.0,Male,102797.30126911662,20.0,Clothing,6.023474556808846,No,3,No
20.0,Female,63854.92107998205,16.0,Electronics,38.57246639277682,No,5,Yes
66.0,Female,66199.99392914612,11.0,Clothing,1.4155319628243697,Yes,5,Yes
70.0,Female,83556.71813301867,11.0,Home Goods,42.173999325776514,No,4,Yes
54.0,Male,114467.22896914204,9.0,Home Goods,17.626043673393056,Yes,5,Yes
64.0,Female,31880.893223130934,17.0,Electronics,22.75347251623372,Yes,1,No
19.0,Female,107485.6609112762,7.0,Clothing,28.26032122753378,Yes,4,Yes
70.0,Female,67049.59880892246,2.0,Sports,21.895097608810204,No,0,No
51.0,Female,129174.20886637548,13.0,Sports,21.808776090014348,No,0,Yes
18.0,Female,128374.49505188612,0.0,Home Goods,16.768262423676642,No,4,No
57.0,Male,71740.68808408537,12.0,Home Goods,40.69672742492697,No,2,No
20.0,Male,121499.00618889718,12.0,Beauty,21.240052218659383,Yes,0,Yes
59.0,Male,92768.23887298974,3.0,Home Goods,1.037023481078914,No,5,No
19.0,Male,116945.39175506018,17.0,Beauty,5.953791243356875,No,5,Yes
46.0,Female,133256.58269419678,7.0,Home Goods,41.68540086646056,No,2,No
22.0,Female,56597.755793940894,16.0,Sports,14.827835349994656,Yes,1,Yes
31.0,Male,78117.2206948353,13.0,Electronics,30.353469185591575,No,1,Yes
62.0,Male,108227.09436743344,18.0,Beauty,10.39038595563596,No,2,No
67.0,Female,102252.54423731811,14.0,Clothing,44.49593419070698,No,5,Yes
66.0,Male,97875.7963295496,17.0,Clothing,54.593550364371815,No,2,Yes
67.0,Female,23792.06927388438,15.0,Sports,28.64750679716908,Yes,5,No
48.0,Female,138727.3031849108,9.0,Electronics,13.71525859531836,No,2,No
52.0,Female,42589.00710764669,1.0,Clothing,3.626033317294109,Yes,5,No
63.0,Male,80023.09869570548,11.0,Home Goods,44.96924768417404,No,0,No
36.0,Male,144947.6131029871,12.0,Clothing,26.151565326802128,No,4,Yes
37.0,Male,101842.50059592575,16.0,Beauty,17.34032246935198,No,1,No
25.0,Male,139395.43617890312,1.0,Electronics,1.64978814180084,No,2,No
40.0,Female,107419.86474325375,15.0,Home Goods,28.881975329587483,No,5,Yes
53.0,Female,93069.46327233424,12.0,Beauty,44.39322491166161,Yes,0,Yes
30.0,Male,52154.24105648084,15.0,Clothing,18.96686815993161,No,2,No
66.0,Male,124009.22593089074,7.0,Sports,52.24461701636442,No,0,No
43.0,Male,48046.28829293903,5.0,Home Goods,29.53911611105208,Yes,0,No
43.0,Female,43303.22954801271,13.0,Beauty,2.7576397379247086,No,5,No
68.0,Male,64874.98710424737,9.0,Clothing,42.14942186169406,No,4,Yes
59.0,Male,123832.8449150947,7.0,Home Goods,49.28016124284287,No,1,No
45.0,Female,99978.5269700314,15.0,Home Goods,40.62795362887603,Yes,0,Yes
50.0,Female,57327.93455099482,20.0,Clothing,30.65517682165396,Yes,3,Yes
61.0,Female,114517.37901000072,12.0,Clothing,30.98195957429383,No,0,No
62.0,Male,67931.93221242339,11.0,Sports,58.26272557298126,No,5,Yes
53.0,Female,67808.71561404766,17.0,Electronics,32.09595923306126,No,5,Yes
18.0,Female,129969.78715810516,14.0,Clothing,15.87649339449767,No,4,Yes
47.0,Female,104216.2679787687,13.0,Clothing,56.84931579392198,Yes,4,Yes
52.0,Male,40534.12696859524,1.0,Clothing,54.28825075264435,No,2,No
25.0,Male,29263.374609483617,2.0,Beauty,13.278256041185994,No,4,No
18.0,Female,38570.53734910901,5.0,Beauty,23.847516844005025,No,5,No
40.0,Male,33711.580994361975,16.0,Sports,11.79069013105145,Yes,4,No
22.0,Male,32401.90605071738,10.0,Electronics,42.616025841452974,No,3,Yes
35.0,Male,80147.82865850115,12.0,Home Goods,40.97033790015843,No,0,Yes
32.0,Female,90421.62561330052,15.0,Beauty,58.75625381107409,No,0,Yes
42.0,Female,108080.49476966391,9.0,Clothing,21.04186449029564,No,3,No
47.0,Female,75279.6641069002,8.0,Home Goods,51.850939535977176,No,4,Yes
31.0,Male,95411.5485070291,,Electronics,57.81060641650421,Yes,2,Yes
33.0,Female,26258.568677185947,19.0,Beauty,12.922775229104726,No,5,No
23.0,Male,118155.45073701616,16.0,Home Goods,1.4036041407534494,No,2,No
52.0,Female,116034.00959445364,0.0,Sports,21.42040150970005,Yes,3,Yes
66.0,Female,118928.7988036522,16.0,Clothing,41.05435289413832,No,2,No
55.0,Male,56724.4885764708,15.0,Electronics,54.99486114049874,No,4,Yes
59.0,Female,77136.51952227831,6.0,Beauty,54.91870112898598,No,3,Yes
62.0,Female,62288.36742299405,8.0,Electronics,11.599760984373914,No,0,No
40.0,Female,124336.13834537569,10.0,Home Goods,6.458480649802572,No,0,No
57.0,Female,56722.23671701347,1.0,Beauty,7.736843033990797,Yes,1,No
45.0,Female,101410.4617847383,19.0,Sports,25.433759360166803,Yes,2,No
33.0,Female,53837.29148358039,16.0,Sports,18.611092786422837,Yes,4,Yes
70.0,Male,119425.2741173894,4.0,Beauty,45.35588065466813,No,5,No
43.0,Male,86607.29108095278,14.0,Sports,40.27337953693163,No,2,No
42.0,Female,25069.481634738506,15.0,Clothing,1.7973048960647715,No,1,No
43.0,Female,66806.56056712719,20.0,Sports,55.59200349279615,Yes,0,Yes
65.0,Male,36226.70581569028,12.0,Sports,30.7072971665818,Yes,1,No
68.0,Female,118640.91298845228,13.0,Home Goods,11.475917263080143,No,5,No
40.0,Female,118450.32692747706,9.0,Beauty,43.45517426021217,Yes,5,Yes
64.0,Female,118052.2737586705,11.0,Beauty,56.20920642994847,No,3,Yes
24.0,Female,22837.041580813635,17.0,Home Goods,18.84134867793141,No,4,No
22.0,Female,86465.81008609766,20.0,Home Goods,53.63147275237195,No,3,Yes
40.0,Male,98472.83607271875,20.0,Electronics,53.05186978022514,No,2,No
25.0,Male,44363.55273268569,4.0,Beauty,7.011613484321616,Yes,1,No
68.0,Male,41751.76952013785,19.0,Beauty,14.812057233267794,No,3,No
68.0,Male,55711.49595622596,15.0,Beauty,22.18104531667656,No,5,No
43.0,Male,33234.4787834398,20.0,Clothing,51.35446763895064,No,4,No
23.0,Female,39149.39575626615,2.0,Clothing,26.425538854581287,No,4,No
26.0,Female,107636.9384196882,1.0,Home Goods,14.377319387003324,No,0,No
35.0,Female,70116.54761579991,4.0,Sports,40.45158220897569,Yes,2,Yes
70.0,Male,85814.58773437636,19.0,Electronics,13.078447783049937,Yes,0,No
31.0,Female,67812.17840829988,6.0,Beauty,49.3060618126673,No,1,Yes
43.0,Male,118837.67700587754,3.0,Clothing,8.367334537449437,Yes,0,No
43.0,Female,69986.47259382563,19.0,Home Goods,55.46726532853663,Yes,4,Yes
27.0,Female,103956.91021724296,2.0,Electronics,32.59243202976029,No,1,No
36.0,Female,144485.53196089625,19.0,Home Goods,31.01282450303318,No,4,No
31.0,Female,115923.0374129989,2.0,Clothing,35.61813901907323,No,1,No
58.0,Female,111633.23130563962,8.0,Clothing,44.237461899072514,No,5,Yes
47.0,Female,49291.20089366056,13.0,Sports,1.2872360516746904,No,4,No
29.0,Male,64518.237248512734,6.0,Beauty,54.11842213489496,No,1,Yes
44.0,Male,114377.3882980884,16.0,Electronics,5.619798558293892,Yes,5,Yes
54.0,Female,90906.14302289773,3.0,Clothing,51.63019657657261,Yes,0,No
24.0,Male,98084.63865128628,19.0,Electronics,4.63880043363649,No,0,No
54.0,Male,28320.82505912072,3.0,Clothing,47.31540333628746,Yes,4,Yes
55.0,Male,29911.09833656338,15.0,Home Goods,34.0233287197705,No,5,No
29.0,Male,149326.50821557362,20.0,Sports,3.5625680769026102,No,3,Yes
23.0,Male,142681.2070666287,12.0,Home Goods,25.50042481679641,No,2,No
25.0,Female,65146.01507396598,6.0,Clothing,38.490247321475344,No,4,Yes
54.0,Female,113399.0131519315,11.0,Electronics,29.652213307895405,No,1,No
18.0,Female,26716.933815534943,6.0,Beauty,29.218736383151537,No,0,No
34.0,Female,145241.27644776157,10.0,Home Goods,28.629734895926724,No,2,No
62.0,Female,93492.9330943093,0.0,Electronics,26.36083551484617,No,3,No
70.0,Female,59135.99011846069,5.0,Beauty,18.858073412346524,No,0,Yes
58.0,Female,90382.98895518608,5.0,Beauty,41.27335750709702,No,2,No
36.0,Male,29825.869801028704,5.0,Electronics,42.94276549717196,No,4,Yes
23.0,Female,20017.51009058309,5.0,Beauty,23.93181028958608,No,5,No
52.0,Male,22722.844934018667,18.0,Home Goods,50.149021572523125,No,3,No
33.0,Male,96410.01691208578,14.0,Clothing,21.25928958489978,No,0,No
47.0,Male,43065.7400310619,7.0,Electronics,17.226461576780068,Yes,2,No
